Date,Time,Location,Chairperson,Vice Chair,Commissioners Present,Commissioners Absent,Meeting Topic,Approval Status,Vote
2020-09-24,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",None,"THE APPLICANT IS SEEKING AN AMENDMENT OF THE NARANJA COMMUNITY URBAN CENTER DISTRICT (NCUCD) REGULATING PLAN TO RE-DESIGNATE THE SUBJECT PROPERTY FROM MIXED USE CORRIDOR (MC) AND RESIDENTIAL MODIFIED (RM) TO MIXED USE CORRIDOR. ADDITIONALLY, THE APPLICANT SEEKS ANCILLARY NON-USE VARIANCES TO THE AFOREMENTIONED REGULATIONS.  --  LOCATION	: LYING BETWEEN SOUTH DIXIE HIGHWAY (US HIGHWAY NO. 1) AND SW 145 AVENUE ROAD, APPROXIMATELY 200ï¿½ NORTH  OF SW 266 STREET, MIAMI-DADE COUNTY, FLORIDA Approved staff recommendation Zoning Z-20-20 Mover: Dennis C. Moss Seconder: Sally A. Heyman Vote: 13 - 0 REPORT: Mr. Nathan Kogon, Assistant Director, Development Services, Regulatory & Economic Resources (RER) Department read into the record the title of the foregoing application, noting there were no protests or waivers filed. Chairwoman Edmonson opened the public hearing. Mr. Jose Rivero, Zoning Analyst 2, Miami-Dade Department of Regulatory and Economic Resources (RER), announced there was one speaker registered to speak on the foregoing application. Clerk of the Board Director Melissa Adames administered the witnessï¿½ oath to Mr. Jonathan Cruz. Mr. Jonathan Cruz, MDG Designs, 6187 NW 167th Street, Miami FL, appeared on behalf of the applicant Greenlands Realtors, Inc. He noted the application was filed in 2018 and sought variances to construct the building to the rear of the property instead of the front, as required by the Naranja Community Urban District (NCUD).  Mr. Cruz pointed out all of the other businesses in the area was located to the back of the properties and argued changing the design to comply with the NCUD requirements would result in various problems to the business owner.  He advised the Board members that there was an alley running across the plot of land and the front area was too small to accommodate the size of the building needed for the business.  Mr. Cruz stated relocating parking to the rear of the property would result in additional parking and traffic congestion and pointed out the recently constructed Walmart was allowed to keep parking to the front of the plot.  He proceeded to publish a PowerPoint presentation detailing the proposed design and site plans for the project.  Mr. Cruz concluded the presentation by pointing out the Florida Power and Lights (FPL) lines located to the front of the subject site and noted relocating the lines would result in additional costs to the applicant. Mr. George F. Mobassaleh, Property owner and President/Owner of Elegant Beauty Supplies, spoke about his business and explained when he purchased the property all the other business buildings, including the recently constructed Walmart, were situated to the rear of the plots with parking located to the front.  He told the Board members that the project would be cost prohibitive and have to be cancelled if the building could not be built to the rear of the lot and asked the Board to approve the application. There being no one registered to speak, Chairwoman Edmonson closed the public hearing. Responding to Commissioner Mossï¿½ request for an explanation regarding staffï¿½s recommendation, Mr. Kogon reviewed the application and noted the applicant had requested eight variances in total.  He explained staffï¿½s recommendation to deny was based on the fact that the applicantï¿½s proposed site plan was a departure from the Countyï¿½s plan for urban mixed use in urban centers.  Mr. Kogon stated while the plan was not inconsistent with existing structures, staff believed the same type of building structure could be achieved by constructing the building to the front of the lot with parking to the rear. Commissioner Moss inquired about the alley issue and how it could be resolved. Mr. Kogon indicated staff did not see any issue with an alley on the site. In response to Commissioner Mossï¿½ question as to how the applicantï¿½s proposed design would contribute to his vision of creating ï¿½Mini Dadelandsï¿½ along US1 and comply with the Countyï¿½s design plans along major transportation modes, Mr. Kogon stated that staff believed the proposed development was an underutilization of the site since the property was zoned to allow for a development up to fifteen stories and an intensity of up to 125 units per acre. Commissioner Moss moved to deny the item without prejudice, per staff's recommendation. This motion was seconded by Commissioner Heyman and the foregoing resolution was subsequently adopted by the Board and set forth in the Record of Resolutions and assigned #Z-20-20. 11/21/2019 Deferred by the Zoning Board B 200098 Zoning Regulatory and Economic Resources PH: 	Z2019000074  --  DISTRICT(S) 6 -- APPLICANT: DOUBLE DK PROPERTIES, LLC -- SUMMARY OF REQUEST(S): THE APPLICANT IS SEEKING A DISTRICT BOUNDARY CHANGE FROM RU-1, RU-4A, BU-1A, IN ORDER TO DEVELOP THE SUBJECT PROPERTY WITH A SELF-STORAGE FACILITY. ADDITIONALLY, THE APPLICANT SEEKS ANCILLARY NON-USE VARIANCES OF FLOOR AREA RATIO (FAR) AND ZONING REGULATIONS AND A REDUCED SETBACK. --",Approved,13
2020-10-29,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",Barbara J. Jordan,"THE APPLICANTS ARE REQUESTING THE PARTIAL RELEASE OF A RESTRICTION AS RECORDED IN OFFICIAL RECORD BOOK 5891, PAGE 633, WHICH LIMITED THE USE OF THE PROPERTY TO A GOLF COURSE, CLUB HOUSE AND ANCILLARY USES.  --",Approved,9
2020-12-17,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Keon Hardemon; Eileen Higgins; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Joe A. Martinez; Jose ""Pepe"" Diaz; Sen. Rene Garcia",None,"THE APPLICANT IS SEEKING TO REZONE THE SUBJECT PARCEL FROM AU, AGRICULTURAL DISTRICT AND RU-1Z, SINGLE-FAMILY ZERO LOT LINE DEVELOPMENT RESIDENTIAL DISTRICT TO RU-3M, MINIMUM APARTMENT HOUSE DISTRICT AND TO DELETE THE EXISTING COVENANT, WHICH RESTRICTED THE DEVELOPMENT OF A PORTION OF THE PARCEL TO THE RU-1Z DISTRICT REGULATIONS AND PROVIDED FOR A MONETARY CONTRIBUTION TO THE MIAMI-DADE COUNTY SCHOOL BOARD.  --",Approved,10
2021-02-18,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Jean Monestime; Keon Hardemon; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz",None,"THE APPLICANT SEEKS TO REZONE THE SUBJECT PROPERTY TO LEISURE CITY COMMUNITY URBAN CENTER DISTRICT (LCUCD). WITH THIS REQUEST, THE APPLICANT SEEKS AMENDMENTS OF THE REGULATING PLANS TO DESIGNATE THE SUBJECT PROPERTY AS MC, MIXED USE CORRIDOR, TO DESIGNATE THE PROPERTY AS THE CENTER SUB DISTRICT IN THE SUB-DISTRICTS REGULATING PLAN, AND TO AMEND THE EXISTING AND NEW STREET TYPES REGULATING PLANS. --",Approved,11
2021-03-17,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Sally A. Heyman; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Sen. Rene Garcia",Keon Hardemon,"THE APPLICANT IS SEEKING APPROVAL TO PERMIT A WALL WITHIN THE SETBACK AREA ADDITIONALLY, THE APPLICANT SEEKS TO PERMIT SAID WALL HIGHER THAN PERMITTED  --",Approved,8
2021-04-21,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Keon Hardemon; Sally A. Heyman; Eileen Higgins; Raquel A. Regalado; Danielle Cohen Higgins; Sen. Javier D. Souto; Jose ""Pepe"" Diaz",Jean Monestime,THE APPLICANT IS REQUESTING AN AMENDMENT OF THE OJUS URBAN AREA DISTRICT (OUAD) LAND USE REGULATING PLANS TO RE-DESIGNATE SUBJECT PROPERTY FROM RESIDENTIAL (R) TO RESIDENTIAL MODIFIED LIVE/WORK (RML).  --,Approved,8
2021-05-19,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Sally A. Heyman; Eileen Higgins; Raquel A. Regalado; Danielle Cohen Higgins; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Sen. Rene Garcia",None,THE APPLICANT IS SEEKING APPROVAL TO PERMIT SELF-STORAGE FACILITY ON THE SUBJECT SITE.  --,Approved,8
2021-06-16,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Eileen Higgins; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz",None,"THE APPLICANTS ARE SEEKING TO ALLOW A DISTRICT BOUNDARY CHANGE FROM RU-2, TWO-FAMILY RESIDENTIAL DISTRICT, TO MCD, MIXED -USE CORRIDOR DISTRICT.  --",Approved,10
2021-07-21,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Jean Monestime; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Sen. Rene Garcia",Keon Hardemon; Kionne L. McGhee,"THE APPLICANT IS SEEKING APPROVAL OF A DISTRICT BOUNDARY CHANGE FROM RU-3 TO PAD IN ORDER TO DEVELOP THE PROPERTY WITH 588 MULTI-FAMILY UNITS. IN ADDITION, THE APPLICANT IS ALSO SEEKING TO PERMIT LESS PARKING SPACES, PARKING AND DRIVES WITH 25ï¿½ OF A RIGHT-OF-WAY AND DELETE A PRIOR DECLARATION OF RESTRICTIONS.  --",Approved,8
2021-09-22,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,Keon Hardemon; Sally A. Heyman; Eileen Higgins; Raquel A. Regalado; Danielle Cohen Higgins; Sen. Javier D. Souto; Joe A. Martinez; Sen. Rene Garcia,"Oliver G. Gilbert, III; Jean Monestime; Rebeca Sosa; Kionne L. McGhee; Jose ""Pepe"" Diaz","THE APPLICANTS SEEK TO REZONE THE SUBJECT PROPERTY TO BIRD ROAD CORRIDOR URBAN AREA DISTRICT (BRCUAD), ALONG WITH AMENDMENTS OF THE REGULATING PLANS TO DESIGNATE THE SUBJECT PROPERTY AS MC, MIXED-USE CORRIDOR AND TOCENTER IN THE SUB-DISTRICTS REGULATING PLAN. -",Approved,7
2021-10-20,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,Sen. Javier D. Souto,"Oliver G. Gilbert, III; Jean Monestime; Keon Hardemon; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Joe A. Martinez; Jose ""Pepe"" Diaz; Sen. Rene Garcia","THE APPLICANT SEEKS APPROVAL TO PERMIT THE DELETION OF ï¿½Aï¿½ AND ï¿½Bï¿½ STREETS ON THE PORTION OF THE SUBJECT PROPERTY THAT IS LOCATED WITHIN THE PRINCETON COMMUNITY URBAN CENTER (PCUC). ADDITIONALLY, THE APPLICANT SEEKS TO ALLOW ZERO STREET DEDICATION TOWARDS THE HALF-SECTION LINE ROADWAY (SW 240 STREET) THAT TRAVERSES THROUGH THE SUBJECT PROPERTY, AND FOR PROVIDING LESS NUMBER OF PARKING SPACES THAN REQUIRED BY CODE.   --",Unknown,Unknown
2021-11-17,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Jean Monestime; Keon Hardemon; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz",None,"THE APPLICANT SEEKS APPROVAL TO PERMIT THE DELETION OF ï¿½Aï¿½ AND ï¿½Bï¿½ STREETS ON THE PORTION OF THE SUBJECT PROPERTY THAT IS LOCATED WITHIN THE PRINCETON COMMUNITY URBAN CENTER (PCUC). ADDITIONALLY, THE APPLICANT SEEKS TO ALLOW ZERO STREET DEDICATION TOWARDS THE HALF-SECTION LINE ROADWAY (SW 240 STREET) THAT TRAVERSES THROUGH THE SUBJECT PROPERTY, AND FOR PROVIDING LESS NUMBER OF PARKING SPACES THAN REQUIRED BY CODE.   --",Approved,12
2022-01-20,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Keon Hardemon; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Danielle Cohen Higgins; Kionne L. McGhee; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Sen. Rene Garcia","Oliver G. Gilbert, III; Jean Monestime","THE APPLICATION SEEKS TO PERMIT EXPANSION OF AN EXISTING PRIVATE SCHOOL AND RELIGIOUS FACILITY ONTO ADDITIONAL PROPERTIES TO THE EAST AND WEST. ADDITIONALLY, THE APPLICATION SEEKS TO MODIFY AND DELETE CONDITIONS OF PREVIOUS RESOLUTIONS IN ORDER TO SUBMIT A NEW SITE PLAN, INCREASE THE NUMBER OF STUDENTS AND CHANGE THE HOURS OF OPERATIONS FOR THE EXISTING PRIVATE SCHOOL. ALSO, THE APPLICATION SEEKS TO PERMIT A PROPOSED CLASSROOM BUILDING TO SETBACK LESS THAN REQUIRED FROM THE REAR PROPERTY LINE, ALLOW BUILDINGS WITH MORE LOT COVERAGE ON THE PARCEL THAN REQUIRED, PERMIT PARKING AND DRIVEWAYS WITHIN 25ï¿½ OF RIGHTS-OF-WAY, ALLOW A WALL WITH MORE HEIGHT THAN REQUIRED, AND TO PERMIT ANNUAL CARNIVAL AND AMUSEMENT RIDES ON THE SUBJECT PROPERTY.   --",Approved,10
2022-02-17,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,None,"Keon Hardemon; Eileen Higgins; Rebeca Sosa; Danielle Cohen Higgins; Kionne L. McGhee; Jose ""Pepe"" Diaz","THE APPLICATION SEEKS TO PERMIT EXPANSION OF AN EXISTING PRIVATE SCHOOL AND RELIGIOUS FACILITY ONTO ADDITIONAL PROPERTIES TO THE EAST AND WEST. ADDITIONALLY, THE APPLICATION SEEKS TO MODIFY AND DELETE CONDITIONS OF PREVIOUS RESOLUTIONS IN ORDER TO SUBMIT A NEW SITE PLAN, INCREASE THE NUMBER OF STUDENTS AND CHANGE THE HOURS OF OPERATIONS FOR THE EXISTING PRIVATE SCHOOL. ALSO, THE APPLICATION SEEKS TO PERMIT A PROPOSED CLASSROOM BUILDING TO SETBACK LESS THAN REQUIRED FROM THE REAR PROPERTY LINE, ALLOW BUILDINGS WITH MORE LOT COVERAGE ON THE PARCEL THAN REQUIRED, PERMIT PARKING AND DRIVEWAYS WITHIN 25ï¿½ OF RIGHTS-OF-WAY, ALLOW A WALL WITH MORE HEIGHT THAN REQUIRED, AND TO PERMIT ANNUAL CARNIVAL AND AMUSEMENT RIDES ON THE SUBJECT PROPERTY.   --",Deferred,Unknown
2022-03-17,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Jean Monestime; Keon Hardemon; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Sen. Javier D. Souto; Jose ""Pepe"" Diaz",None,"THE APPLICATION SEEKS TO PERMIT EXPANSION OF AN EXISTING PRIVATE SCHOOL AND RELIGIOUS FACILITY ONTO ADDITIONAL PROPERTIES TO THE EAST AND WEST. ADDITIONALLY, THE APPLICATION SEEKS TO MODIFY AND DELETE CONDITIONS OF PREVIOUS RESOLUTIONS IN ORDER TO SUBMIT A NEW SITE PLAN, INCREASE THE NUMBER OF STUDENTS AND CHANGE THE HOURS OF OPERATIONS FOR THE EXISTING PRIVATE SCHOOL. ALSO, THE APPLICATION SEEKS TO PERMIT A PROPOSED CLASSROOM BUILDING TO SETBACK LESS THAN REQUIRED FROM THE REAR PROPERTY LINE, ALLOW BUILDINGS WITH MORE LOT COVERAGE ON THE PARCEL THAN REQUIRED, PERMIT PARKING AND DRIVEWAYS WITHIN 25ï¿½ OF RIGHTS-OF-WAY, ALLOW A WALL WITH MORE HEIGHT THAN REQUIRED, AND TO PERMIT ANNUAL CARNIVAL AND AMUSEMENT RIDES ON THE SUBJECT PROPERTY.   --",Approved,10
2022-04-21,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Jean Monestime; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Danielle Cohen Higgins; Kionne L. McGhee; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Sen. Rene Garcia",Keon Hardemon,"THE APPLICANTS SEEK TO MODIFY A PREVIOUSLY APPROVED DEVELOPMENT ORDER (DO) FOR THE DEVELOPMENT OF REGIONAL IMPACT (DRI) TO ALLOW FOR A SIMULTANEOUS DECREASE AND ADDITION OF NEW USES FOR THE DRI DEVELOPMENT PROGRAM, AND TO EXTEND THE BUILD-OUT DATE OF THE PROJECT. IN ADDITION, THE APPLICANTS ALSO SEEK TO REZONE A 62-ACRE PARCEL WITHIN THE DRI PROPERTY FROM IU-2 TO BU-2.  --",Approved,10
2022-05-19,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Jean Monestime; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Danielle Cohen Higgins; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz",None,"THE APPLICANTS ARE REQUESTING AN AMENDMENT OF THE GOULDS COMMUNITY URBAN CENTER DISTRICT (GCUCD) LAND USE REGULATING PLAN, TO RE-DESIGNATE THE SUBJECT PROPERTY FROM RESIDENTIAL (R), TO RESIDENTIAL MODIFIED (RM), WITHIN THE EDGE SUB-DISTRICT, AND TO PERMIT THE PROPOSED MULTI-FAMILY DEVELOPMENT WITH A REDUCED LANDSCAPED STRIP ALONG THE NORTH PROPERTY LINE, TO PERMIT LESS PARKING THAN REQUIRED AND TO PERMIT THE PROPOSED BUILDING TO BE LOCATED CLOSER TO THE REAR PROPERTY LINE THAN PERMITTED.  --",Approved,7
2022-07-20,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Jean Monestime; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz",Keon Hardemon; Sally A. Heyman,"THE APPLICANTS ARE REQUESTING AN AMENDMENT OF THE GOULDS COMMUNITY URBAN CENTER DISTRICT (GCUCD) LAND USE REGULATING PLAN, TO RE-DESIGNATE THE SUBJECT PROPERTY FROM RESIDENTIAL (R), TO RESIDENTIAL MODIFIED (RM), WITHIN THE EDGE SUB-DISTRICT, AND TO PERMIT THE PROPOSED MULTI-FAMILY DEVELOPMENT WITH A REDUCED LANDSCAPED STRIP ALONG THE NORTH PROPERTY LINE, TO PERMIT LESS PARKING THAN REQUIRED AND TO PERMIT THE PROPOSED BUILDING TO BE LOCATED CLOSER TO THE REAR PROPERTY LINE THAN PERMITTED.  --",Approved,8
2022-09-22,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Jean Monestime; Keon Hardemon; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Sen. Javier D. Souto; Jose ""Pepe"" Diaz; Sen. Rene Garcia",None,"THE APPLICANT SEEKS TO PERMIT THE EXPANSION OF A PRIVATE SCHOOL IN CONJUNCTION WITH A PREVIOUSLY APPROVED DAYCARE CENTER AND AFTER SCHOOL CARE ONTO ADDITIONAL PROPERTY TO THE WEST.  ADDITIONALLY, THE APPLICANT SEEKS TO MODIFY THE PREVIOUSLY APPROVED RESOLUTION TO INCREASE THE NUMBER OF STUDENTS AND GRADE LEVELS FOR THE AFOREMENTIONED PRIVATE SCHOOL; OR IN THE ALTERNATIVE THE APPLICANT IS REQUESTING TO PERMIT A DISTRICT BOUNDARY CHANGE FROM AU TO EU-M, ALONG WITH ANCILLARY NON-USE VARIANCES OF SETBACK REQUIREMENTS AND TO PERMIT DRIVES WITHIN 25ï¿½ OF AN OFFICIAL RIGHT-OF-WAY.  --",Approved,9
2022-11-16,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Keon Hardemon; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Kionne L. McGhee; Sen. Javier D. Souto; Jose ""Pepe"" Diaz; Sen. Rene Garcia",None,"THE APPLICANT SEEKS TO PERMIT THE EXPANSION OF A PRIVATE SCHOOL IN CONJUNCTION WITH A PREVIOUSLY APPROVED DAYCARE CENTER AND AFTER SCHOOL CARE ONTO ADDITIONAL PROPERTY TO THE WEST.  ADDITIONALLY, THE APPLICANT SEEKS TO MODIFY THE PREVIOUSLY APPROVED RESOLUTION TO INCREASE THE NUMBER OF STUDENTS AND GRADE LEVELS FOR THE AFOREMENTIONED PRIVATE SCHOOL; OR IN THE ALTERNATIVE THE APPLICANT IS REQUESTING TO PERMIT A DISTRICT BOUNDARY CHANGE FROM AU TO EU-M, ALONG WITH ANCILLARY NON-USE VARIANCES OF SETBACK REQUIREMENTS AND TO PERMIT DRIVES WITHIN 25ï¿½ OF AN OFFICIAL RIGHT-OF-WAY.  --",Approved,8
2022-12-07,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Micky Steinberg; Eileen Higgins; Kevin Marino Cabrera; Danielle Cohen Higgins; Kionne L. McGhee; Anthony Rodriguez; Roberto J. Gonzalez; Juan Carlos Bermudez; Sen. Rene Garcia",Keon Hardemon,"THE APPLICANTS ARE REQUESTING AN AMENDMENT OF THE GOULDS COMMUNITY URBAN CENTER DISTRICT (GCUCD) LAND USE REGULATING PLAN, TO RE-DESIGNATE THE SUBJECT PROPERTY FROM RESIDENTIAL (R), TO RESIDENTIAL MODIFIED (RM), WITHIN THE EDGE SUB-DISTRICT, AND TO PERMIT THE PROPOSED MULTI-FAMILY DEVELOPMENT WITH A REDUCED LANDSCAPED STRIP ALONG THE NORTH PROPERTY LINE, TO PERMIT LESS PARKING THAN REQUIRED AND TO PERMIT THE PROPOSED BUILDING TO BE LOCATED CLOSER TO THE REAR PROPERTY LINE THAN PERMITTED.  --",Approved,12
2023-01-19,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,Marleine Bastien; Micky Steinberg; Eileen Higgins; Kevin Marino Cabrera; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Anthony Rodriguez; Roberto J. Gonzalez; Juan Carlos Bermudez; Sen. Rene Garcia,"Oliver G. Gilbert, III","THE APPLICANTS ARE REQUESTING AN AMENDMENT OF THE GOULDS COMMUNITY URBAN CENTER DISTRICT (GCUCD) LAND USE REGULATING PLAN, TO RE-DESIGNATE THE SUBJECT PROPERTY FROM RESIDENTIAL (R), TO RESIDENTIAL MODIFIED (RM), WITHIN THE EDGE SUB-DISTRICT, AND TO PERMIT THE PROPOSED MULTI-FAMILY DEVELOPMENT WITH A REDUCED LANDSCAPED STRIP ALONG THE NORTH PROPERTY LINE, TO PERMIT LESS PARKING THAN REQUIRED AND TO PERMIT THE PROPOSED BUILDING TO BE LOCATED CLOSER TO THE REAR PROPERTY LINE THAN PERMITTED.  --",Approved,11
2023-02-23,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,Marleine Bastien; Micky Steinberg; Eileen Higgins; Kevin Marino Cabrera; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Anthony Rodriguez; Roberto J. Gonzalez,None,"THE APPLICANTS ARE REQUESTING AN AMENDMENT OF THE GOULDS COMMUNITY URBAN CENTER DISTRICT (GCUCD) LAND USE REGULATING PLAN, TO RE-DESIGNATE THE SUBJECT PROPERTY FROM RESIDENTIAL (R), TO RESIDENTIAL MODIFIED (RM), WITHIN THE EDGE SUB-DISTRICT, AND TO PERMIT THE PROPOSED MULTI-FAMILY DEVELOPMENT WITH A REDUCED LANDSCAPED STRIP ALONG THE NORTH PROPERTY LINE, TO PERMIT LESS PARKING THAN REQUIRED AND TO PERMIT THE PROPOSED BUILDING TO BE LOCATED CLOSER TO THE REAR PROPERTY LINE THAN PERMITTED.  --",Approved,8
2023-03-16,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Keon Hardemon; Micky Steinberg; Eileen Higgins; Kevin Marino Cabrera; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Anthony Rodriguez; Roberto J. Gonzalez; Juan Carlos Bermudez; Sen. Rene Garcia",None,"THE APPLICANT IS SEEKING APPROVAL OF A DISTRICT BOUNDARY CHANGE FROM EU-1, SINGLE-FAMILY ONE ACRE ESTATE DISTRICT, TO EU-M, MODIFIED SINGLE-FAMILY ESTATE DISTRICT. ADDITIONALLY, THE APPLICANT SEEKS TO PERMIT LOT A WITH LESS FRONTAGE THAN REQUIRED BY CODE. IN THE ALTERNATIVE THE APPLICANT SEEKS TO PERMIT TWO PROPOSED LOTS EACH WITH VARIANCES OF THE EU-1 LOT AREA, DEPTH AND LOT FRONTAGE LESS THAN REQUIRED BY CODE.  --",Approved,11
2023-04-20,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Unknown,"Oliver G. Gilbert, III; Marleine Bastien; Keon Hardemon; Micky Steinberg; Eileen Higgins; Kevin Marino Cabrera; Raquel A. Regalado; Danielle Cohen Higgins; Kionne L. McGhee; Anthony Rodriguez; Roberto J. Gonzalez; Juan Carlos Bermudez",None,"THE APPLICANTS ARE REQUESTING AN AMENDMENT OF THE GOULDS COMMUNITY URBAN CENTER DISTRICT (GCUCD) LAND USE REGULATING PLAN, TO RE-DESIGNATE THE SUBJECT PROPERTY FROM RESIDENTIAL (R), TO RESIDENTIAL MODIFIED (RM), WITHIN THE EDGE SUB-DISTRICT, AND TO PERMIT THE PROPOSED MULTI-FAMILY DEVELOPMENT WITH A REDUCED LANDSCAPED STRIP ALONG THE NORTH PROPERTY LINE, TO PERMIT LESS PARKING THAN REQUIRED AND TO PERMIT THE PROPOSED BUILDING TO BE LOCATED CLOSER TO THE REAR PROPERTY LINE THAN PERMITTED.  --",Approved,11
